Категории;Характеристики;Основная категория;Артикул;Короткое название;Показывать товар;Трансазия;Описание;Бренд;Фотографии;Цена_Розничная
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для мужчин;
(Характеристики товара (Средства гигиены))Назначение:От выпадения;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:4015600765187;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000035631";Средства гигиены/Душ и ванная/Шампуни;330960;HEAD & SHOULDERS Шампунь 2 в 1 Укрепление волос мужской 400 мл;1;242;"<p>2 в 1 шампунь и бальзам ополаскиватель против перхоти успокаивает и питает волосяные луковицы, уменьшает ломкость волос, предотвращает выпадение. Подходит для ежедневного использования. С ароматом для мужчин.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Шампунь и бальзам ополаскиватель 2 в 1
<li>От перхоти
<li>Уменьшает выпадение волос
<li>Ароматизатор для мужчин
<br>
Состав: Вода, лаурилсульфат натрия, лауретсульфат натрия, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, диметикон, цинк пиритион, кокамидопропилбетаин, отдушка, бензоат натрия, ментол, хлорид гуаргидроксипропилтримония, хлористоводородная кислота, гидроксид карбоната магния, лимонен, линалоол, нитрат магния, токоферола ацетат, полинафталинсульфонат натрия, CI 19140, метилхлоризотиазолинон, хлорид магния, метилизотиазолин, CI 42090.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-2-v-1-ukreplenie-volos-muzhskoj-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Назначение:От перхоти;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174511871;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000041478";Средства гигиены/Душ и ванная/Шампуни;330961;HEAD & SHOULDERS Шампунь Энергия океана 400 мл;1;242;"<p>Шампунь и бальзам-ополаскиватель против перхоти, очищает волосы, оздоравливает кожу головы. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-energiya-okeana-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174896169;
(Характеристики товара (Средства гигиены))Объем:200 мл;
(Характеристики товара (Средства гигиены))Код товара:00000041849";Средства гигиены/Душ и ванная/Шампуни;330962;HEAD & SHOULDERS шампунь Лед Арктики 200 мл;1;146;"<p>Шампунь против перхоти успокаивает и охлаждает кожу головы. Снимает кожный зуд. Активизирует кровообращение, глубоко питает волосяные луковицы. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Успокаивает зудящую кожу
<li>От перхоти
<li>Охлаждает
<br>
Состав: Aqua, Sodium Lauryl Sulfate, Sodium Laureth Sulfate, Glycol Distearate, Zink Carbonate, Sodium Chloride, Sodium Xylenesulfonate, Zinc Pyrithione, Cocamidopropyl Betaine, Dimethicone, Parfum, Menthol, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Hydrochloric Acid, Magnesium Carbonate Hydroxide, Hexyl Cinnamal, Linalool, Magnesium Nitrate, Sodium Polynaphthalenesulfonate, Methylchloroisothiazolinone, Magnesium Chloride, CI 42090, Methylisothiazolinone, CI 17200.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-led-arktiki-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5601059396677;
(Характеристики товара (Средства гигиены))Объем:200 мл;
(Характеристики товара (Средства гигиены))Код товара:00000039532";Средства гигиены/Душ и ванная/Шампуни;330963;HEAD & SHOULDERS шампунь Основной уход 200 мл;1;146;"<p>
Шампунь от перхоти, очищает волосы и ухаживает за кожей головы. Дарит волосам красоту и здоровье Подходит для ежедневного использования.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного применения
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-osnovnoj-uhod-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Назначение:От перхоти;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174391664;
(Характеристики товара (Средства гигиены))Объем:200 мл;
(Характеристики товара (Средства гигиены))Код товара:00000039630";Средства гигиены/Душ и ванная/Шампуни;330964;HEAD & SHOULDERS Шампунь Sensitive 200 мл;1;146;"<p>Шампунь и бальзам-ополаскиватель против перхоти, очищает волосы, содержит алоэ вера успокаивает кожу, и возвращает вашим волосам здоровый вид. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<li>Для чувствительной кожи головы
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-sensitive-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Назначение:От перхоти;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174900637;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000040580";Средства гигиены/Душ и ванная/Шампуни;330965;HEAD & SHOULDERS Шампунь Основной уход 400 мл;1;242;"<p>
Шампунь от перхоти, очищает волосы и ухаживает за кожей головы. Дарит волосам красоту и здоровье Подходит для ежедневного использования.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного применения
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-osnovnoj-uhod-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Назначение:От перхоти;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174391695;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000039593";Средства гигиены/Душ и ванная/Шампуни;330966;HEAD & SHOULDERS Шампунь Sensitive 400 мл;1;242;"<p>Шампунь и бальзам-ополаскиватель против перхоти, очищает волосы, содержит алоэ вера успокаивает кожу, и возвращает вашим волосам здоровый вид. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<li>Для чувствительной кожи головы
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-sensitive-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5410076659098;
(Характеристики товара (Средства гигиены))Объем:200 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00015634";Средства гигиены/Душ и ванная/Шампуни;330967;HEAD & SHOULDERS шампунь Яблочная свежесть 200 мл;1;146;"<p>Шампунь против перхоти, очищает волосы, оздоравливает кожу головы. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-yablochnaya-svezhest-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для мужчин;
(Характеристики товара (Средства гигиены))Назначение:От выпадения;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5011321656857;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000035631";Средства гигиены/Душ и ванная/Шампуни;330968;HEAD & SHOULDERS Шампунь Укрепление волос мужской 400 мл;1;242;"<p>Шампунь против перхоти успокаивает и питает волосяные луковицы, уменьшает ломкость волос, предотвращает выпадение. Подходит для ежедневного использования. С ароматом для мужчин.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>От перхоти
<li>Уменьшает выпадение волос
<li>Ароматизатор для мужчин";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-ukreplenie-volos-muzhskoj-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:HEAD & SHOULDERS;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Назначение:От перхоти;
(Характеристики товара (Средства гигиены))Страна происхождения:Румыния;
(Характеристики товара (Средства гигиены))EAN:5000174194401;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000039596";Средства гигиены/Душ и ванная/Шампуни;330969;HEAD & SHOULDERS Шампунь Цитрусовая свежесть 400 мл;1;242;"<p>Шампунь против перхоти для регулярного ухода за жирными волосами, очищает волосы, оздоравливает кожу головы. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<li>Для жирных волос
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-citrusovaya-svezhest-400-ml.jpg;279
